行业/产品名称,类型,描述,关键信息,上游,下游
AI人工智能,industry,人工智能产业链包括上游基础层（芯片、算力、数据）、中游技术层（大模型、算法框架）、下游应用层（智能客服、自动驾驶、医疗AI等）。,"市场规模: 万亿级, 增速: 40%+, 战略地位: 极高","GPU芯片, 数据中心, 训练数据, 算法框架","智能客服, 自动驾驶, 医疗AI, 金融科技, 内容生成"
GPU芯片,product,图形处理器，因其并行计算能力成为AI训练和推理的核心硬件。英伟达A100/H100垄断高端市场，国内寒武纪、华为昇腾等在推进国产化。,"市场主导: 英伟达, 需求爆发, 国产替代进行中","晶圆代工, 封装测试, HBM存储, 光刻机","AI大模型, 数据中心, 自动驾驶, 游戏"
数据中心,product,承载AI训练和推理的基础设施，包括服务器、网络设备、制冷系统、电力供应等。,"能耗: 高, 建设周期: 长, 投资规模: 大","服务器, 网络设备, 制冷系统, 电力设备","AI大模型, 云计算, 大数据, 互联网服务"
训练数据,material,AI模型训练所需的大规模标注数据集，包括文本、图像、音频等多模态数据。,"数据量: 海量, 标注成本: 高, 隐私风险: 需关注","数据采集, 数据标注, 数据清洗","大模型训练, 计算机视觉, 自然语言处理"
算法框架,product,深度学习框架和工具库，如PyTorch、TensorFlow等，为AI模型开发提供基础工具。,"开源生态: 活跃, 学习曲线: 陡峭, 社区支持: 强","编程语言, 计算库, 开源社区","大模型开发, 计算机视觉, 自然语言处理, 强化学习"
智能客服,product,基于NLP和对话AI的自动化客服系统，可处理常见问题、订单查询等。,"成本降低: 60%+, 用户满意度: 提升, 应用广泛","大模型, NLP技术, 知识库系统","电商平台, 金融机构, 运营商, 航空公司"
自动驾驶,product,利用AI感知、决策、控制技术实现车辆自动驾驶，包括L1-L5多个等级。,"技术难度: 极高, 安全要求: 严格, 市场前景: 广阔","GPU芯片, 传感器, 大模型, 高精地图","乘用车, 商用车, 出行服务, 物流配送"
医疗AI,product,应用于医学影像诊断、药物研发、病历分析等医疗领域的AI技术。,"准确率: 95%+, 监管要求: 严格, 市场规模: 百亿级","大模型, 医学数据, 计算机视觉","医院, 诊断中心, 制药企业, 保险公司"
科技产业,industry,包括半导体、软件、互联网、通信等高科技产业，是国家战略性产业。,"市场规模: 万亿级, 增速: 15%+, 国产化: 推进中","基础研究, 人才培养, 资本投入","消费电子, 工业控制, 云计算, 物联网"
半导体,industry,电子信息产业的基础，包括芯片设计、制造、封测全产业链。,"战略地位: 极高, 国产化: 迫切, 技术壁垒: 高","硅片, 光刻机, 光刻胶, EDA软件, 特种气体","芯片, 消费电子, 汽车电子, 工业控制"
光刻机,product,芯片制造核心设备，ASML垄断高端市场，技术壁垒极高。,"技术壁垒: 极高, 荷兰ASML垄断, 国产化: 困难","光学镜头, 激光器, 精密机械, 控制系统","半导体制造, 芯片生产"
能源产业,industry,包括传统能源（石油、煤炭、天然气）和新能源（光伏、风电、水电、核电）。,"市场规模: 万亿级, 转型: 绿色低碳, 政策支持: 强","资源勘探, 开采设备, 运输基础设施","电力系统, 工业用能, 交通运输, 生活用能"
光伏,product,利用半导体材料的光电效应直接将光能转换为电能的技术产业。,"装机量: 快速增长, 成本下降: 显著, 清洁能源","硅料, 光伏玻璃, 银浆, 逆变器","光伏电站, 分布式发电, 储能系统"
风电,product,利用风能发电的清洁能源产业，包括陆上风电和海上风电。,"装机量: 快速增长, 海上风电: 趋势, 成本竞争力: 提升","风机叶片, 主轴承, 齿轮箱, 发电机","电网, 储能系统, 绿电交易"
储能系统,product,将电能存储并在需要时释放的系统，包括电化学储能、机械储能等。,"政策支持: 强, 应用广泛, 成本下降: 快","锂电池, 逆变器, BMS, 储能柜","电网调峰, 新能源配储, 工商业储能, 家庭储能"
农业产业,industry,包括种植业、养殖业、农产品加工等，是国民经济基础产业。,"市场规模: 万亿级, 现代化: 推进中, 科技赋能: 加速","种子, 化肥, 农药, 农机, 饲料","农产品加工, 食品工业, 餐饮, 零售"
种子,material,农业生产的基础，包括粮食种子、蔬菜种子、水果种子等。,"自给率: 需提升, 育种技术: 关键, 国产化: 重要","育种研究, 生物技术, 田间试验","种植业, 农业生产"
化肥,material,为农作物提供营养的化学肥料，包括氮肥、磷肥、钾肥等。,"需求量: 大, 价格波动: 大, 环保压力: 增加","原油, 天然气, 磷矿, 钾矿","种植业, 农业生产, 环境"
农药,material,用于防治农作物病虫害的化学物质，包括杀虫剂、杀菌剂、除草剂等。,"需求量: 大, 环保要求: 严格, 创新: 生物农药","化工原料, 生物技术, 研发","种植业, 农业生产, 环境"
农机,product,用于农业生产的机械设备，包括拖拉机、收割机、播种机等。,"智能化: 趋势, 国产化: 提升, 需求: 稳定","发动机, 液压系统, 电子控制, 钢铁","种植业, 农业生产, 农业服务"
饲料,material,为畜禽提供营养的饲料产品，包括配合饲料、浓缩饲料等。,"需求量: 大, 成本占比: 高, 营养: 关键","粮食, 豆粕, 鱼粉, 添加剂","养殖业, 畜禽生产"
农产品加工,product,将农产品转化为食品、饮料、纺织品等产品的产业。,"附加值: 提升, 食品安全: 关键, 市场规模: 大","农产品, 包装材料, 添加剂, 能源","食品工业, 餐饮, 零售, 出口"
